station_name,station_city,latitude,longitude,Dortmund,Essen,Duisburg,Düsseldorf,Cologne,Bonn,Bochum,Wuppertal
Dortmund Hbf,Dortmund,51.5136,7.4653,0.588,0.4746021984326013,0.30519609447141044,0.31937541042873235,0.37744118182563813,0.06434652102569313,0.3430676986247815,0.273952630834506
Essen Hbf,Essen,51.4556,7.0116,0.4786725431875979,0.583,0.46861731207606755,0.5162434067367934,0.5643538636202566,0.0901515795256149,0.35003371476527134,0.31580875489237703
Duisburg Hbf,Duisburg,51.4344,6.7623,0.3603520151590147,0.548602194659332,0.498,0.557769395304914,0.5747517428943865,0.0875527011298422,0.29783694599105187,0.2837368778179116
Düsseldorf Hbf,Düsseldorf,51.2277,6.7735,0.30289151827757194,0.4854353324637911,0.448014772357818,0.62,0.8587188324996257,0.16197456841509786,0.25755345794949003,0.3086530788828729
Cologne Hbf,Cologne,50.9422,6.9581,0.20436041888901949,0.3029634461239499,0.2635601914930059,0.49024463733864443,1.086,0.2885553886610041,0.16654011723700876,0.2683065176397134
Bonn Hbf,Bonn,50.7359,7.0999,0.11570567083519132,0.16072896288511768,0.1333371411702184,0.3071077443955984,0.9583215660117752,0.327,0.09100327009574478,0.18130058430050627
Bochum Hbf,Bochum,51.4818,7.2162,0.5526679638119767,0.5590949471456252,0.4063638331603941,0.4374880655580378,0.4955138830668261,0.08152895704468095,0.365,0.31172632204782885
Wuppertal Hbf,Wuppertal,51.2562,7.1507,0.4537581603681395,0.5186380397246643,0.398030887755831,0.5390560814292429,0.8207912060752924,0.1670008199049734,0.32050734520410573,0.355
